genomes	checkm2_completeness	checkm2_contamination	checkm_completeness	checkm_contamination	genome_size	gtdb_taxonomy	ncbi_assembly_level	ncbi_assembly_name	ncbi_bioproject	ncbi_biosample	ncbi_country	ncbi_date	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_organism_name	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxonomy
GCF_009810495.1	98.79	0.11	99.22	0	815929	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae	Contig	ASM981049v1	PRJNA224116	SAMD00180357	Japan	2019-12-06	none	full	na	none	Mycoplasmoides pneumoniae	KPI-165	AMR Research Center, National Institute of Infectious Diseases	d__Bacteria;p__Mycoplasmatota;c__;o__Mycoplasmoidales;f__Metamycoplasmataceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae
GCF_030924475.1	99.11	0.11	99.25	0	817959	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae	Contig	ASM3092447v1	PRJNA224116	SAMN17804497	Taiwan	2023-08-28	none	full	na	throat swabs	Mycoplasmoides pneumoniae	403-50	Chang Gung University, Taiwan	d__Bacteria;p__Mycoplasmatota;c__;o__Mycoplasmoidales;f__Metamycoplasmataceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae
GCF_030924655.1	98.83	0.11	99.22	0	818457	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae	Contig	ASM3092465v1	PRJNA224116	SAMN17804487	Taiwan	2023-08-28	none	full	na	throat swabs	Mycoplasmoides pneumoniae	403-06	Chang Gung University, Taiwan	d__Bacteria;p__Mycoplasmatota;c__;o__Mycoplasmoidales;f__Metamycoplasmataceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae
GCF_030923695.1	97.19	0.11	98.46	0	817491	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae	Contig	ASM3092369v1	PRJNA224116	SAMN17804531	Taiwan	2023-08-28	none	full	na	throat swabs	Mycoplasmoides pneumoniae	NS04	Chang Gung University, Taiwan	d__Bacteria;p__Mycoplasmatota;c__;o__Mycoplasmoidales;f__Metamycoplasmataceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae
GCF_030924815.1	98.22	0.11	99.22	0	816848	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae	Contig	ASM3092481v1	PRJNA224116	SAMN17804479	Taiwan	2023-08-28	none	full	na	throat swabs	Mycoplasmoides pneumoniae	006-390	Chang Gung University, Taiwan	d__Bacteria;p__Mycoplasmatota;c__;o__Mycoplasmoidales;f__Metamycoplasmataceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae
GCF_030159415.1	98.81	0.11	99.22	0	815966	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae	Contig	ASM3015941v1	PRJNA224116	SAMD00566914	Japan:Saitama	2023-01-26	none	full	na	throat swab	Mycoplasmoides pneumoniae	Y12-38	Department of Bacteriology II, National Institute of Infectious Diseases	d__Bacteria;p__Mycoplasmatota;c__;o__Mycoplasmoidales;f__Metamycoplasmataceae;g__Mycoplasmoides;s__Mycoplasmoides pneumoniae
GCF_002741785.2	98.21	0.29	98.9	0	1478370	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	CRIE_YEK1v5	PRJNA224116	SAMN07572565	Russia: Yekaterinburg	2023-02-17	none	full	na	patient s blood plasma	Borrelia miyamotoi	Yekat-1	Central Research Institute for Epidemiology	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_000441755.1	99.62	0.04	98.92	0	1038839	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis	Complete Genome	ASM44175v1	PRJNA224116	SAMN02603705	none	2013-07-26	none	full	na	none	Chlamydia trachomatis RC-J/966	RC-J;966	Oregon State University	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
GCF_000441815.1	99.65	0.04	98.92	0	1038870	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis	Complete Genome	ASM44181v1	PRJNA224116	SAMN02603708	none	2013-07-26	none	full	na	none	Chlamydia trachomatis RC-L2/55	RC-L2;55	Oregon State University	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
GCF_019668825.1	95.18	0.11	98.9	0	906111	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM1966882v1	PRJNA224116	SAMD00264457	Mongolia	2021-06-26	none	full	na	not applicable	Borrelia miyamotoi	M20E6	Joint Faculty of Veterinary Medicine, Yamaguchi University	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_027286205.1	97.99	0.12	98.49	0	1383961	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM2728620v1	PRJNA224116	SAMN32260480	USA: Connecticut	2022-12-26	none	full	na	blood of patient with Lyme disease (erythema migrans) after tick-bite innoculated in Rag knock out mouse; and isolated in BSK culture	Borrelia miyamotoi	CT14D4	AMC (Amsterdam, The Netherlands) and CRIE (Moscow, Russia)	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_000472225.1	99.83	0.05	98.92	0	1031755	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis	Contig	E/CS88(i)	PRJNA224116	SAMN02470647	none	2013-09-30	none	full	na	none	Chlamydia trachomatis E/CS88(i)	E;CS88(i)	National Institute of Health, Portugal	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
GCF_002741825.2	98.24	0.32	98.9	0	1503876	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM274182v3	PRJNA224116	SAMN07572563	Russia: Izhevsk	2023-01-25	none	full	na	patient s blood plasma	Borrelia miyamotoi	Izh-14	Central Research Institute for Epidemiology	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_000441795.1	99.62	0.04	98.92	0	1038442	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis	Complete Genome	ASM44179v1	PRJNA224116	SAMN02603707	none	2013-07-26	none	full	na	none	Chlamydia trachomatis RC-J/971	971;RC-J	Oregon State University	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
GCF_019668705.1	95.31	0.11	98.9	0	905679	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM1966870v1	PRJNA224116	SAMD00264456	Mongolia	2021-06-26	none	full	na	not applicable	Borrelia miyamotoi	M15A8	Joint Faculty of Veterinary Medicine, Yamaguchi University	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_019668605.1	95.49	0.15	98.9	0	906441	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM1966860v1	PRJNA224116	SAMD00264451	Japan	2021-06-26	none	full	na	not applicable	Borrelia miyamotoi	MYK2	Joint Faculty of Veterinary Medicine, Yamaguchi University	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_000472205.1	99.83	0.05	98.92	0	1031755	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis	Contig	E/CS88(f)	PRJNA224116	SAMN02470648	none	2013-09-30	none	full	na	none	Chlamydia trachomatis E/CS88(f)	E;CS88(f)	National Institute of Health, Portugal	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
GCF_019668665.1	95.33	0.11	98.9	0	906015	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM1966866v1	PRJNA224116	SAMD00264454	Japan	2021-06-26	none	full	na	not applicable	Borrelia miyamotoi	MYK5	Joint Faculty of Veterinary Medicine, Yamaguchi University	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_000568695.2	96.68	4.91	98.09	7.26	1379992	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Chromosome	ASM56869v2	PRJNA224116	SAMN03081452	Japan	2016-10-06	none	full	na	blood from a rodent; Apodemus argenteus	Borrelia miyamotoi FR64b	FR64b	Rocky Mountain Labs, NIAID, NIH	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_003431845.1	95.88	0.08	98.9	0	978929	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM343184v1	PRJNA224116	SAMN07205076	USA: California	2017-08-01	none	full	na	none	Borrelia miyamotoi	CA17-2241	Centers for Disease Control and Prevention	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_019668525.1	95.31	0.11	98.9	0	906376	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM1966852v1	PRJNA224116	SAMD00264447	Japan	2021-06-26	none	full	na	not applicable	Borrelia miyamotoi	HT24	Joint Faculty of Veterinary Medicine, Yamaguchi University	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_019668565.1	95.32	0.11	98.9	0	906055	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM1966856v1	PRJNA224116	SAMD00264449	Japan	2021-06-26	none	full	na	not applicable	Borrelia miyamotoi	NB103;1	Joint Faculty of Veterinary Medicine, Yamaguchi University	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_027286105.1	97.64	0.11	98.49	0	1332630	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM2728610v1	PRJNA224116	SAMN32260475	USA: Rhode Island	2022-12-26	none	full	na	blood of patient with fever after tick-bite innoculated in SCID mouse; and isolated in MKP-F culture	Borrelia miyamotoi	1995	AMC (Amsterdam, The Netherlands) and CRIE (Moscow, Russia)	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_004354445.2	98.26	0.8	98.9	0.81	1473265	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	CRIE_YEK18v5	PRJNA224116	SAMN10979507	Russia: Yekaterinburg	2023-02-24	none	full	na	patient s blood plasma	Borrelia miyamotoi	Yekat-18	Central Research Institute for Epidemiology	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_002741845.3	98	0.26	98.9	0	1432067	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM274184v4	PRJNA224116	SAMN07572561	Russia: Izhevsk	2023-04-25	none	full	na	patient s blood plasma	Borrelia miyamotoi	Izh-4	Central Research Institute for Epidemiology	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_000068585.1	99.65	0.04	98.92	0	1038842	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis	Complete Genome	ASM6858v1	PRJNA224116	SAMEA1705923	none	2008-01-17	none	full	na	none	Chlamydia trachomatis 434/Bu	434;Bu	Wellcome Trust Sanger Institute	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
GCF_000441615.1	99.65	0.04	98.92	0	1038817	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis	Complete Genome	ASM44161v1	PRJNA224116	SAMN02603698	none	2013-07-26	none	full	na	none	Chlamydia trachomatis RC-L2(s)/46	RC-L2(s);46	Oregon State University	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
GCF_000318825.1	99.51	0.15	98.92	0	1039261	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis	Complete Genome	ASM31882v1	PRJNA224116	SAMEA2272273	none	2012-03-13	none	full	na	none	Chlamydia trachomatis L1/440/LN	LN;440;L1	Sanger Institute	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
GCF_000220105.1	99.65	0.04	98.92	0	1038313	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis	Complete Genome	ASM22010v1	PRJNA224116	SAMN00011086	none	2011-07-06	none	full	na	man with severe proctitis	Chlamydia trachomatis L2c	L2c	Emory University	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
GCF_027286165.1	97.82	0.12	98.49	0	1335541	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM2728616v1	PRJNA224116	SAMN32260474	USA: Rhode Island	2022-12-26	none	full	na	blood of patient with fever after tick-bite innoculated in SCID mouse; and isolated in MKP-F culture	Borrelia miyamotoi	1938	AMC (Amsterdam, The Netherlands) and CRIE (Moscow, Russia)	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_027286185.1	97.84	0.12	98.49	0	1338449	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM2728618v1	PRJNA224116	SAMN32260472	USA: Massachusetts; Ipswich	2022-12-26	none	full	na	Ixodes scapularis tick isolate by feeding on SCID mouse and isolated from blood sample in MKP-F culture	Borrelia miyamotoi	483	AMC (Amsterdam, The Netherlands) and CRIE (Moscow, Russia)	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_004353465.2	98.56	0.37	98.9	0	1545852	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	CRIE_YEK17v5	PRJNA224116	SAMN10979508	Russia: Yekaterinburg	2023-02-24	none	full	na	patient s blood plasma	Borrelia miyamotoi	Yekat-17	Central Research Institute for Epidemiology	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_019668545.1	95.32	0.11	98.9	0	905693	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM1966854v1	PRJNA224116	SAMD00264448	Japan	2021-06-26	none	full	na	not applicable	Borrelia miyamotoi	Hk004	Joint Faculty of Veterinary Medicine, Yamaguchi University	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_000807295.1	95.13	0.11	98.9	0	907293	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM80729v1	PRJNA224116	SAMN03255733	none	2014-12-23	none	full	na	blood	Borrelia miyamotoi	CT14D4	University of California Irvine	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_017748085.1	98.07	0.11	98.49	0	1334387	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM1774808v1	PRJNA224116	SAMN18499016	USA:CT	2021-04-05	none	full	na	blood of infected SCID mice	Borrelia miyamotoi	LB-2001	Baylor College of Medicine	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_001767415.1	97.86	0.11	98.49	0	1277895	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Chromosome	ASM176741v1	PRJNA224116	SAMN04455594	USA:Connecticut	2016-10-18	none	full	na	none	Borrelia miyamotoi	CT13-2396	Centers for Disease Control and Prevention	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_004353385.2	97.88	0.26	98.9	0	1414566	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	CRIE_YEK76v5	PRJNA224116	SAMN10979512	Russia: Yekaterinburg	2023-03-10	none	full	na	patient s blood plasma	Borrelia miyamotoi	Yekat-76	Central Research Institute for Epidemiology	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_009258445.1	98.96	0.11	98.9	0	1331067	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Chromosome	NL-IR-1	PRJNA224116	SAMN12826994	Netherlands	2019-10-13	none	full	na	eggs of a tick infected in nature	Borrelia miyamotoi	NL-IR-1	Central Research Institute of Epidemiology	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_019669025.1	95.19	0.11	97.28	0	904736	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM1966902v1	PRJNA224116	SAMD00264460	Japan	2021-06-26	none	full	na	not applicable	Borrelia miyamotoi	Y14T18	Joint Faculty of Veterinary Medicine, Yamaguchi University	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
GCF_019668585.1	95.21	0.1	98.9	0	905196	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Borreliales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi	Complete Genome	ASM1966858v1	PRJNA224116	SAMD00264450	Japan	2021-06-26	none	full	na	not applicable	Borrelia miyamotoi	MYK1	Joint Faculty of Veterinary Medicine, Yamaguchi University	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borrelia;s__Borrelia miyamotoi
